id;name;cityId
683;Lolofitu Moi;48
684;Ulu Moro'o;48
685;Medan Kota;49
686;Medan Sunggal;49
687;Medan Helvetia;49
688;Medan Denai;49
689;Medan Barat;49
690;Medan Deli;49
691;Medan Tuntungan;49
692;Medan Belawan;49
693;Medan Amplas;49
694;Medan Area;49
695;Medan Johor;49
696;Medan Marelan;49
697;Medan Labuhan;49
698;Medan Tembung;49
699;Medan Maimun;49
700;Medan Polonia;49
701;Medan Baru;49
702;Medan Perjuangan;49
703;Medan Petisah;49
704;Medan Timur;49
705;Medan Selayang;49
706;Siantar Timur;50
707;Siantar Barat;50
708;Siantar Utara;50
709;Siantar Selatan;50
710;Siantar Marihat;50
711;Siantar Martoba;50
712;Siantar Sitalasari;50
713;Siantar Marimbun;50
714;Sibolga Utara;51
715;Sibolga Kota;51
716;Sibolga Selatan;51
717;Sibolga Sambas;51
718;Tanjungbalai Selatan;52
719;Tanjungbalai Utara;52
720;Sei Tualang Raso;52
721;Teluk Nibung;52
722;Datuk Bandar;52
723;Datuk Bandar Timur;52
724;Binjai Utara;53
725;Binjai Kota;53
726;Binjai Barat;53
727;Binjai Timur;53
728;Binjai Selatan;53
729;Padang Hulu;54
730;Rambutan;54
731;Padang Hilir;54
732;Bajenis;54
733;Tebing Tinggi Kota;54
734;Padangsidimpuan Utara;55
735;Padangsidimpuan Selatan;55
736;Padangsidimpuan Batunadua;55
737;Padangsidimpuan Hutaimbaru;55
738;Padangsidimpuan Tenggara;55
739;Padangsidimpuan Angkola Julu;55
740;Gunungsitoli;56
741;Gunungsitoli Selatan;56
742;Gunungsitoli Utara;56
743;Gunungsitoli Idanoi;56
744;Gunungsitoli Alo'oa;56
745;Gunungsitoli Barat;56
746;Pancung Soal;57
747;Ranah Pesisir;57
748;Lengayang;57
749;Batang Kapas;57
750;IV Jurai;57
751;Bayang;57
752;Koto XI Tarusan;57
753;Sutera;57
754;Linggo Sari Baganti;57
755;Lunang;57
756;Basa Ampek Balai Tapan;57
757;IV Nagari Bayang Utara;57
758;Airpura;57
759;Ranah Ampek Hulu Tapan;57
760;Silaut;57
761;Pantai Cermin;58
762;Lembah Gumanti;58
763;Payung Sekaki;58
764;Lembang Jaya;58
765;Gunung Talang;58
766;Bukit Sundi;58
767;IX Koto Sungai Lasi;58
768;Kubung;58
769;X Koto Singkarak;58
770;X Koto Diatas;58
771;Junjung Sirih;58
772;Hiliran Gumanti;58
773;Tigo Lurah;58
774;Danau Kembar;58
775;Tanjung Gadang;59
776;Sijunjung;59
777;IV Nagari;59
778;Kamang Baru;59
779;Lubuak Tarok;59
780;Koto VII;59
781;Sumpur Kudus;59
782;Kupitan;59
783;X Koto;60
784;Batipuh;60
785;Rambatan;60
786;Lima Kaum;60
787;Tanjung Emas;60
788;Lintau Buo;60
789;Sungayang;60
790;Sungai Tarab;60
791;Pariangan;60
792;Salimpaung;60
793;Padang Ganting;60
794;Tanjuang Baru;60
795;Lintau Buo Utara;60
796;Batipuah Selatan;60
797;Lubuk Alung;61
798;Batang Anai;61
799;Nan Sabaris;61
800;2 x 11 Enam Lingkuang;61
801;VII Koto Sungai Sarik;61
802;V Koto Kampung Dalam;61
803;Sungai Garingging;61
804;Sungai Limau;61
805;IV Koto Aur Malintang;61
806;Ulakan Tapakih;61
807;Sintuak Toboh Gadang;61
808;Padang Sago;61
809;Batang Gasan;61
810;V Koto Timur;61
811;2 x 11 Kayu Tanam;61
812;Patamuan;61
813;Enam Lingkung;61
814;Tanjung Mutiara;62
815;Lubuk Basung;62
